indice,dato,tipo_dato,descripcion,quintil,anyo,valor,secreto
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2023,32616.66,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2022,31567.71,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2021,29243.61,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2020,26995.76,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2019,30242.76,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2018,29871.28,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2017,29188.19,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2016,28199.88,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2015,27473.04,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2014,27089.83,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2013,27150.75,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2012,28197.0,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2011,29187.0,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2010,29492.15,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2009,30245.09,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2008,31772.62,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2007,31701.36,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Total,2006,30278.78,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2023,15879.55,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2022,15573.89,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2021,14534.83,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2020,13497.6,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2019,14324.2,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2018,14075.96,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2017,13734.1,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2016,13429.72,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2015,13043.25,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2014,12685.49,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2013,12999.62,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2012,13571.02,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2011,13868.78,False
Total Nacional, Índice general, Dato base, Gasto medio por hogar, Quintil 1,2010,13844.76,False
